# Beta-delayed neutron emission probabilities dataset.
# Code: BeoH [3.5.0]
# Each row indicates data for an individual nucleus with proton number (Z), neutron number (N) and atomic mass (A).
# The middle columns give the j-neutron emission probabilities denoted by Pjn.
# The third to last column denotes the average neutron emission energy, <E_n>, in MeV.
# The second to last column denotes the neutron multiplicity after beta-decay, <n>.
# The last column denotes whether AME2012 masses (1) or FRDM2012 masses (0) were used.
#
#   Z   N  A  P0n  P1n  P2n  P3n  P4n  P5n  P6n  P7n  P8n  P9n  P10n <E_n> <n>  exp
# =================================================================================
 10  16  26 0.98 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.44 0.02   1
 10  17  27 0.98 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.02   1
 10  18  28 0.78 0.22 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.29 0.22   1
 10  19  29 0.85 0.14 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.16 0.16   1
 10  20  30 0.78 0.21 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.54 0.23   1
 10  21  31 0.30 0.59 0.11 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.24 0.81   1
 10  22  32 0.21 0.75 0.04 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.16 0.83   0
 10  23  33 0.13 0.43 0.42 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.45 1.33   0
 10  24  34 0.04 0.75 0.15 0.06 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.46 1.23   0
 10  25  35 0.04 0.14 0.64 0.13 0.05 0.00 0.00 0.00 0.00 0.00 0.00 1.72 2.01   0
 10  26  36 0.00 0.27 0.29 0.37 0.05 0.02 0.00 0.00 0.00 0.00 0.00 1.72 2.26   0
 10  27  37 0.02 0.02 0.38 0.23 0.31 0.03 0.01 0.00 0.00 0.00 0.00 1.84 2.92   0
 10  28  38 0.00 0.27 0.12 0.38 0.11 0.11 0.01 0.00 0.00 0.00 0.00 1.66 2.70   0
 10  29  39 0.01 0.01 0.17 0.07 0.42 0.13 0.16 0.02 0.01 0.00 0.00 1.94 4.07   0
 10  30  40 0.00 0.01 0.03 0.23 0.07 0.42 0.12 0.11 0.01 0.00 0.00 1.98 4.71   0
 10  31  41 0.00 0.00 0.01 0.02 0.20 0.05 0.43 0.13 0.15 0.01 0.00 2.14 5.91   0
 10  32  42 0.00 0.01 0.01 0.03 0.03 0.28 0.06 0.37 0.10 0.10 0.01 2.13 6.39   0
 10  33  43 0.00 0.00 0.00 0.01 0.03 0.03 0.31 0.07 0.36 0.09 0.10 2.19 7.34   0
 10  34  44 0.00 0.00 0.00 0.01 0.01 0.03 0.03 0.30 0.05 0.37 0.20 2.28 8.23   0
 10  35  45 0.00 0.00 0.00 0.01 0.01 0.01 0.03 0.03 0.30 0.05 0.56 2.37 8.96   0
 10  36  46 0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.04 0.05 0.36 0.49 2.32 9.03   0
 10  37  47 0.00 0.00 0.01 0.01 0.00 0.01 0.01 0.01 0.03 0.04 0.88 2.54 9.63   0
 10  38  48 0.00 0.00 0.00 0.00 0.01 0.00 0.01 0.01 0.01 0.04 0.92 2.62 9.81   0
 10  39  49 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.97 2.78 9.94   0
 10  40  50 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.98 2.84 9.97   0
 10  41  51 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.98 10.00  0
 11  13  24 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
